song_name,language,genre,vae_cluster,pca_cluster,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
English_Pop_0,English,Pop,3,1,2.0456285,-0.75174236,2.3603039,1.322829,-2.545778,-0.06493694,1.6805769,0.9936472
English_Rock_1,English,Rock,1,1,0.18878803,0.62091833,1.8789454,0.9598842,2.8836188,1.9380383,-1.5388248,3.3932202
English_Pop_2,English,Pop,3,1,0.20996587,0.7265518,0.82550526,-0.10200659,0.90569633,-1.2393415,0.25635183,0.9586433
English_Rock_3,English,Rock,3,1,-2.4953606,0.49415323,1.1466653,1.2689391,-0.25776106,1.7188834,0.38563162,-0.7225239
English_Pop_4,English,Pop,1,0,2.279817,1.6258594,0.26830354,-0.06130532,3.7864873,-1.7061708,-0.40273058,-0.63738966
English_Rock_5,English,Rock,3,1,-0.051111575,-0.16522723,0.74338365,-0.08420006,-0.14375502,1.2447455,0.19555421,-0.21721724
English_Pop_6,English,Pop,3,1,0.5895245,0.12280931,0.9052763,-0.5765888,-0.34879625,0.6199784,-0.3706034,-0.16475306
English_Rock_7,English,Rock,3,1,-0.35756606,0.6421522,1.126759,-0.2372028,-0.55036795,0.97958434,-0.6222178,-0.54826105
English_Pop_8,English,Pop,3,1,-0.14982986,-1.5143592,0.92521596,0.7333092,-0.12787634,-0.11330212,-0.43957132,-0.646101
English_Rock_9,English,Rock,3,1,0.08916232,-0.8228762,0.70346224,-2.5645,-1.2545133,1.6171215,-1.5055609,1.6072153
English_Pop_10,English,Pop,3,1,2.008254,-0.73682296,2.2065854,1.5166159,-2.3889034,-0.047118314,1.25619,1.3843069
English_Rock_11,English,Rock,1,1,-0.020651128,0.6508157,1.9770732,1.1073585,2.6596973,1.8333552,-1.2320429,3.3251603
English_Pop_12,English,Pop,3,1,0.42218414,-0.78586006,0.2831092,0.2002553,0.75014645,-0.39429867,0.0061342716,0.44415447
English_Rock_13,English,Rock,3,1,-2.5349023,0.060425572,1.7553167,1.8039082,-0.04027391,2.498019,0.27408856,-0.5697671
English_Pop_14,English,Pop,1,0,1.8465172,1.705015,0.14254215,-0.23562226,2.889672,-1.5349027,-0.41146284,-0.7344551
English_Rock_15,English,Rock,3,1,0.5337169,-0.37417316,-0.031469926,-0.7112256,0.3984689,-0.8961179,0.9580335,-0.42400315
English_Pop_16,English,Pop,3,1,0.3734935,-0.863583,1.2001777,-0.37413093,-0.98061466,0.56886566,-0.3489396,0.23838936
English_Rock_17,English,Rock,3,1,-0.5060121,0.9566463,0.61615133,-0.31993926,-0.12570983,-0.7601106,-0.77634174,0.25159502
English_Pop_18,English,Pop,3,1,-0.25864723,-0.15989995,1.0038862,0.33604336,-0.19521874,0.63944644,-0.11667493,-0.5275246
English_Rock_19,English,Rock,3,1,0.5756579,-1.0730307,0.7588085,-2.5520902,-0.7521933,1.2021525,-1.5708102,1.4238265
English_Pop_20,English,Pop,3,1,1.8507988,-0.4610964,2.537045,1.8112396,-2.6010716,-0.03770525,1.6084898,1.342851
English_Rock_21,English,Rock,1,1,-0.14876476,0.38198033,1.4790598,0.44082257,1.9830192,1.4622972,-1.4995265,2.878237
English_Pop_22,English,Pop,3,1,-0.57581836,0.5705932,0.05578494,-0.5185499,0.7123262,-0.25851452,-0.63310766,0.8545406
English_Rock_23,English,Rock,3,1,-2.2374523,0.27287757,0.93705475,1.1757292,-0.44601566,1.7000723,0.752691,-0.9168254
English_Pop_24,English,Pop,1,0,2.791411,1.8480833,0.054539412,-0.21350071,3.3488564,-1.2639782,-0.36290348,-1.2069535
English_Rock_25,English,Rock,3,1,1.0958836,0.24465275,0.43785754,-0.70117605,0.28240883,0.010024779,0.030936599,-0.7178186
English_Pop_26,English,Pop,3,1,0.066994816,-0.78038436,1.6166682,-0.689763,-0.28666544,1.5200809,-0.30222696,0.024632752
English_Rock_27,English,Rock,3,1,-0.39270616,1.1594498,0.9757668,-0.027189739,0.7842606,-0.6385874,-0.5733093,0.9455564
English_Pop_28,English,Pop,3,1,0.22179571,-0.4244482,1.0326382,-0.18318254,-0.13229024,0.97049594,-0.029134795,-0.62908447
English_Rock_29,English,Rock,3,1,0.23570928,-0.75336933,0.11669993,-3.2196758,-0.4869972,1.6184359,-1.9865345,1.8332863
English_Pop_30,English,Pop,3,1,1.8204894,-1.0471082,2.0410051,1.1753666,-2.702005,0.08052682,0.9137202,0.7498703
English_Rock_31,English,Rock,1,1,-0.18756217,0.760672,1.6418533,0.89160746,2.3889408,1.355725,-1.3468697,2.467575
English_Pop_32,English,Pop,3,1,-0.10370344,-0.18656188,-0.37450132,0.38539937,-0.7662313,-0.52137107,1.243975,-0.56619227
English_Rock_33,English,Rock,3,1,-2.1589253,0.51318085,1.3569243,1.3893107,-0.5575555,2.2613456,1.0067571,-0.6879778
English_Pop_34,English,Pop,1,0,2.7039034,2.016981,0.13014218,-0.20126677,3.8469923,-1.753022,-0.44177037,-1.091906
